File name:	 E:\Spraytest_Grimm\Pretest_150719\GDM_1.txt,Factor C = ---,Mode: Count (particle/litre),Sample interval: 6 seconds,Calculation: Differential
Date/time,0.25-0.28 µm,0.28-0.30 µm,0.30-0.35 µm,0.35-0.40 µm,0.40-0.45 µm,0.45-0.50 µm,0.50-0.58 µm,0.58-0.65 µm,0.65-0.70 µm,0.70-0.80 µm,0.80-1.0 µm,1.0-1.3 µm,1.3-1.6 µm,1.6-2.0 µm,2.0-2.5 µm,2.5-3.0 µm,3.0-3.5 µm,3.5-4.0 µm,4.0-5.0 µm,5.0-6.5 µm,6.5-7.5 µm,7.5-8.5 µm,8.5-10.0 µm,10.0-12.5 µm,12.5-15.0 µm,15.0-17.5 µm,17.5-20.0 µm,20.0-25.0 µm,25.0-30.0 µm,30.0-32.0 µm,>32.0 µm
7/15/2019 7:53:00 AM,370.0,140.0,60.0,25.0,25.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:54:00 AM,410.0,225.0,110.0,40.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:55:00 AM,630.0,230.0,170.0,80.0,25.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:56:00 AM,820.0,335.0,195.0,40.0,20.0,10.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:57:00 AM,955.0,410.0,235.0,105.0,60.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:58:00 AM,1145.0,450.0,310.0,80.0,40.0,10.0,25.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 7:59:00 AM,1135.0,425.0,315.0,95.0,35.0,5.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:00:00 AM,1295.0,560.0,235.0,175.0,40.0,15.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:01:00 AM,1090.0,575.0,330.0,170.0,25.0,5.0,5.0,15.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:02:00 AM,1245.0,560.0,285.0,125.0,20.0,25.0,20.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:03:00 AM,1525.0,505.0,345.0,140.0,45.0,10.0,30.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:04:00 AM,1285.0,425.0,315.0,145.0,55.0,30.0,5.0,15.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:05:00 AM,1360.0,630.0,285.0,160.0,25.0,5.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:06:00 AM,1145.0,585.0,355.0,135.0,50.0,5.0,40.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:07:00 AM,1330.0,570.0,330.0,180.0,65.0,20.0,35.0,0.0,0.0,10.0,0.0,0.0,15.0,0.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:08:00 AM,1210.0,550.0,305.0,190.0,65.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:09:00 AM,1320.0,560.0,255.0,130.0,50.0,15.0,10.0,20.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:10:00 AM,1460.0,610.0,385.0,130.0,35.0,5.0,10.0,5.0,5.0,0.0,10.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:11:00 AM,1370.0,570.0,390.0,140.0,35.0,15.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:12:00 AM,1270.0,530.0,415.0,145.0,45.0,15.0,20.0,20.0,10.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:13:00 AM,1220.0,535.0,320.0,145.0,50.0,5.0,10.0,10.0,5.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:14:00 AM,1360.5,568.4,326.3,128.9,31.6,10.5,15.8,5.3,0.0,2.6,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:16:00 AM,1235.0,505.0,310.0,110.0,15.0,15.0,20.0,5.0,0.0,5.0,5.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:17:00 AM,1015.0,525.0,340.0,120.0,60.0,15.0,15.0,0.0,5.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:18:00 AM,1215.0,570.0,305.0,125.0,75.0,10.0,15.0,5.0,10.0,0.0,0.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7/15/2019 8:19:00 AM,1360.0,560.0,300.0,140.0,25.0,20.0,10.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
