TSI NanoScan SMPS Model 3910
Mode,Scan
Serial Number,3910153602
Last Calibrated,2022/03/15


dN (#/cm3)

File Index,Sample #,Date Time,11.5,15.4,20.5,27.4,36.5,48.7,64.9,86.6,115.5,154.0,205.4,273.8,365.2,Total Conc,Median (nm),Mean (nm),Geo Mean (nm),Mode (nm),GSD,Particle Density (g/cc),Firmware Version,Status
1,1,2023/2/2 11:17:28,8.9096e+4,1.4713e+5,6.9781e+4,2.4720e+5,4.2325e+5,5.2592e+5,5.2917e+5,4.6006e+5,3.1351e+5,1.1794e+5,0.0000,0.0000,0.0000,292.3044,55.7136,61.9664,52.1745,64.9382,1.8576,1.2000,1.4,No errors
1,2,2023/2/2 11:18:29,9809.0000,3.0034e+4,1.1956e+5,1.4266e+5,2.9042e+5,4.6169e+5,5.4022e+5,4.5062e+5,2.7429e+5,1.0171e+5,0.0000,0.0000,0.0000,242.1029,62.3015,66.6938,58.6728,64.9382,1.6922,1.2000,1.4,No errors
1,3,2023/2/2 11:19:29,0.0000,7.5586e+4,1.4449e+5,1.3224e+5,3.0847e+5,5.1684e+5,5.8621e+5,4.3732e+5,2.0900e+5,3.5903e+4,0.0000,0.0000,0.0000,244.6041,58.2853,61.2361,54.2817,64.9382,1.6714,1.2000,1.4,No errors
1,4,2023/2/2 11:20:29,3.9633e+4,7.1644e+4,1.2016e+5,2.0910e+5,3.6049e+5,5.0207e+5,5.5103e+5,4.6088e+5,2.4533e+5,3.3585e+4,0.0000,0.0000,0.0000,259.3916,56.6439,60.3579,52.7423,64.9382,1.7274,1.2000,1.4,No errors
1,5,2023/2/2 11:21:29,6.1152e+4,6.8979e+4,1.1510e+5,3.3142e+5,4.2612e+5,4.6063e+5,4.8809e+5,5.1300e+5,4.0393e+5,1.6716e+5,0.0000,0.0000,0.0000,303.5577,58.9291,65.7883,55.4967,86.5964,1.8408,1.2000,1.4,No errors
1,6,2023/2/2 11:22:29,5.5879e+4,1.0027e+5,1.0084e+5,2.1800e+5,3.2532e+5,4.3848e+5,5.3161e+5,5.5495e+5,4.1562e+5,1.6010e+5,0.0000,0.0000,0.0000,290.1071,64.3652,68.4885,58.1282,86.5964,1.8418,1.2000,1.4,No errors
1,7,2023/2/2 11:23:29,1.0364e+5,4.1238e+4,6.8213e+4,4.7724e+5,6.3154e+5,5.7306e+5,4.5430e+5,4.1522e+5,3.3259e+5,1.7499e+5,1.8787e+4,0.0000,0.0000,329.0802,50.6299,61.3647,51.3321,36.5174,1.8363,1.2000,1.4,No errors
1,8,2023/2/2 11:24:29,1.2614e+6,1.4443e+6,6.5732e+5,6.7323e+5,7.2311e+5,6.3123e+5,5.1561e+5,4.3915e+5,3.3774e+5,1.6924e+5,0.0000,0.0000,0.0000,685.2343,24.7092,38.3026,28.1576,15.3993,2.1280,1.2000,1.4,No errors
1,9,2023/2/2 11:25:29,6.7211e+5,9.4861e+5,6.1801e+5,5.9310e+5,6.3503e+5,6.3030e+5,5.8245e+5,4.7380e+5,3.0433e+5,1.0682e+5,0.0000,0.0000,0.0000,556.4552,31.2832,42.3450,32.2620,15.3993,2.0813,1.2000,1.4,No errors
1,10,2023/2/2 11:26:29,6.4412e+5,6.6714e+5,3.6745e+5,6.0760e+5,5.5278e+5,3.6823e+5,3.2452e+5,4.9184e+5,5.4747e+5,3.4112e+5,1.6318e+4,0.0000,0.0000,492.8579,35.3821,53.3179,37.7443,15.3993,2.3236,1.2000,1.4,No errors
1,11,2023/2/2 11:27:30,4.1136e+5,4.0464e+5,1.9995e+5,4.2070e+5,4.7241e+5,4.1994e+5,4.1283e+5,4.9966e+5,4.9301e+5,2.9445e+5,9066.0000,0.0000,0.0000,403.8002,46.3277,59.0693,43.8379,86.5964,2.2473,1.2000,1.4,No errors
1,12,2023/2/2 11:28:30,2.8001e+5,3.8886e+5,2.0599e+5,3.4200e+5,3.8056e+5,3.9936e+5,4.7276e+5,5.8860e+5,5.5095e+5,3.0139e+5,0.0000,0.0000,0.0000,391.0494,55.3393,63.3854,48.2343,86.5964,2.2025,1.2000,1.4,No errors
